From	To
P07951	9606.ENSP00000354219
P07954	9606.ENSP00000355518
P08123	9606.ENSP00000297268
P08133	9606.ENSP00000346550
P08134	9606.ENSP00000285735
P08195	9606.ENSP00000367123
P08236	9606.ENSP00000302728
P08237	9606.ENSP00000345771
P08238	9606.ENSP00000325875
P08243	9606.ENSP00000175506
P08254	9606.ENSP00000299855
P08476	9606.ENSP00000242208
P08575	9606.ENSP00000356346
P08579	9606.ENSP00000246071
P08621	9606.ENSP00000472998
P08648	9606.ENSP00000293379
P08670	9606.ENSP00000224237
P08708	9606.ENSP00000346046
P08758	9606.ENSP00000296511
P08865	9606.ENSP00000346067
P08962	9606.ENSP00000257857
P09012	9606.ENSP00000243563
P09086	9606.ENSP00000431603
P09104	9606.ENSP00000229277
P09110	9606.ENSP00000333664
P09132	9606.ENSP00000424870
P09211	9606.ENSP00000381607
P09234	9606.ENSP00000244520
P09382	9606.ENSP00000215909
P09417	9606.ENSP00000281243
P09429	9606.ENSP00000343040
P09486	9606.ENSP00000231061
P09496	9606.ENSP00000242285
P09497	9606.ENSP00000309415
P09525	9606.ENSP00000377833
P09543	9606.ENSP00000377470
P09601	9606.ENSP00000216117
P09622	9606.ENSP00000205402
P09651	9606.ENSP00000341826
P09661	9606.ENSP00000254193
P09874	9606.ENSP00000355759
P09936	9606.ENSP00000284440
P09960	9606.ENSP00000228740
P09972	9606.ENSP00000226253
Q71UI9	9606.ENSP00000308405
P0C1H6	9606.ENSP00000347119
P0CG30	9606.ENSP00000290765
Q8NHU0	9606.ENSP00000405261
P10155	9606.ENSP00000356411
P10253	9606.ENSP00000305692
P10301	9606.ENSP00000246792
P10412	9606.ENSP00000307705
P10515	9606.ENSP00000280346
P10599	9606.ENSP00000363641
P10619	9606.ENSP00000361562
P10620	9606.ENSP00000010404
P10644	9606.ENSP00000351410
P10768	9606.ENSP00000367992
P10809	9606.ENSP00000340019
P11021	9606.ENSP00000324173
P11047	9606.ENSP00000258341
P11142	9606.ENSP00000227378
P11172	9606.ENSP00000232607
P11177	9606.ENSP00000307241
P11216	9606.ENSP00000216962
P11217	9606.ENSP00000164139
P11233	9606.ENSP00000005257
P11234	9606.ENSP00000272519
P11387	9606.ENSP00000354522
P11413	9606.ENSP00000377192
P11441	9606.ENSP00000358674
P11586	9606.ENSP00000450560
P11717	9606.ENSP00000349437
P11766	9606.ENSP00000296412
P11908	9606.ENSP00000381504
P11940	9606.ENSP00000313007
P12004	9606.ENSP00000368438
P12081	9606.ENSP00000425634
P12109	9606.ENSP00000355180
P12110	9606.ENSP00000300527
P12111	9606.ENSP00000295550
P12236	9606.ENSP00000370808
P12268	9606.ENSP00000321584
P12270	9606.ENSP00000356448
P12277	9606.ENSP00000299198
P12532	9606.ENSP00000406577
P12814	9606.ENSP00000377941
P12955	9606.ENSP00000244137
P12956	9606.ENSP00000352257
P13010	9606.ENSP00000375977
P13489	9606.ENSP00000346402
P13611	9606.ENSP00000265077
P13639	9606.ENSP00000307940
P13667	9606.ENSP00000286091
P13674	9606.ENSP00000263556
P13693	9606.ENSP00000431872
P13716	9606.ENSP00000386284
P13797	9606.ENSP00000348163
P13798	9606.ENSP00000296456
P13804	9606.ENSP00000452762
P13807	9606.ENSP00000317904
P13861	9606.ENSP00000265563
P13987	9606.ENSP00000340210
P14174	9606.ENSP00000215754
P14314	9606.ENSP00000252455
P14324	9606.ENSP00000349078
P14543	9606.ENSP00000264187
P14550	9606.ENSP00000312606
P14618	9606.ENSP00000320171
P14625	9606.ENSP00000299767
P14678	9606.ENSP00000412566
P14735	9606.ENSP00000265986
P14854	9606.ENSP00000246554
P14866	9606.ENSP00000221419
P14868	9606.ENSP00000264161
P15121	9606.ENSP00000285930
P15144	9606.ENSP00000300060
P15151	9606.ENSP00000402060
P15170	9606.ENSP00000398131
P15311	9606.ENSP00000338934
P15374	9606.ENSP00000366819
P15531	9606.ENSP00000013034
P15559	9606.ENSP00000319788
P15586	9606.ENSP00000258145
P15880	9606.ENSP00000341885
P15924	9606.ENSP00000369129
P15927	9606.ENSP00000363021
P16070	9606.ENSP00000398632
P16083	9606.ENSP00000337773
P16152	9606.ENSP00000290349
P16157	9606.ENSP00000265709
P16278	9606.ENSP00000306920
P16401	9606.ENSP00000330074
P16403	9606.ENSP00000339566
P16615	9606.ENSP00000440045
P16930	9606.ENSP00000261755
P16949	9606.ENSP00000410452
P16989	9606.ENSP00000228251
P17026	9606.ENSP00000298299
P17029	9606.ENSP00000323148
P17066	9606.ENSP00000310219
P17096	9606.ENSP00000308227
P17174	9606.ENSP00000359539
P17252	9606.ENSP00000408695
P17301	9606.ENSP00000296585
P17612	9606.ENSP00000309591
P17655	9606.ENSP00000295006
P17812	9606.ENSP00000361699
P17813	9606.ENSP00000362299
P17844	9606.ENSP00000225792
P17858	9606.ENSP00000269848
P17931	9606.ENSP00000254301
P17980	9606.ENSP00000298852
P17987	9606.ENSP00000317334
P18077	9606.ENSP00000393393
P18085	9606.ENSP00000306010
P18124	9606.ENSP00000339795
P18206	9606.ENSP00000211998
P18564	9606.ENSP00000283249
P18621	9606.ENSP00000462023
P18669	9606.ENSP00000359991
P18859	9606.ENSP00000389649
P19022	9606.ENSP00000269141
P19174	9606.ENSP00000244007
P19338	9606.ENSP00000318195
P19367	9606.ENSP00000384774
P19525	9606.ENSP00000233057
P19623	9606.ENSP00000366156
P19784	9606.ENSP00000262506
P19838	9606.ENSP00000226574
P20042	9606.ENSP00000364119
P20073	9606.ENSP00000362010
P20290	9606.ENSP00000369965
P20336	9606.ENSP00000222256
P20337	9606.ENSP00000360718
P20340	9606.ENSP00000311449
P20618	9606.ENSP00000262193
P20674	9606.ENSP00000317780
P20839	9606.ENSP00000345096
P20908	9606.ENSP00000360882
P20936	9606.ENSP00000274376
P20962	9606.ENSP00000310088
P21266	9606.ENSP00000256594
P21281	9606.ENSP00000276390
P21283	9606.ENSP00000379203
P21291	9606.ENSP00000345079
P21333	9606.ENSP00000358866
P21359	9606.ENSP00000351015
P21399	9606.ENSP00000309477
P21589	9606.ENSP00000257770
P21741	9606.ENSP00000352852
P21796	9606.ENSP00000265333
P21964	9606.ENSP00000354511
P21980	9606.ENSP00000355330
P22059	9606.ENSP00000263847
P22061	9606.ENSP00000356348
P22090	9606.ENSP00000250784
P22102	9606.ENSP00000371236
P22234	9606.ENSP00000382595
P22307	9606.ENSP00000360569
P22314	9606.ENSP00000338413
P22392	9606.ENSP00000376886
P35325	9606.ENSP00000340703
P22626	9606.ENSP00000346694
P23193	9606.ENSP00000428426
P23219	9606.ENSP00000354612
P23246	9606.ENSP00000349748
P23258	9606.ENSP00000251413
P23284	9606.ENSP00000300026
P23297	9606.ENSP00000292169
P23381	9606.ENSP00000347495
P23396	9606.ENSP00000433821
P23526	9606.ENSP00000217426
P23528	9606.ENSP00000309629
P23588	9606.ENSP00000262056
P23634	9606.ENSP00000350310
P23743	9606.ENSP00000328405
P23919	9606.ENSP00000304802
P23921	9606.ENSP00000300738
P24385	9606.ENSP00000227507
P24534	9606.ENSP00000236957
P24539	9606.ENSP00000358737
P24593	9606.ENSP00000233813
P24666	9606.ENSP00000272065
P24752	9606.ENSP00000265838
P24821	9606.ENSP00000265131
P24844	9606.ENSP00000279022
P24941	9606.ENSP00000266970
P25205	9606.ENSP00000229854
P25325	9606.ENSP00000380318
P25398	9606.ENSP00000230050
P25685	9606.ENSP00000254322
P25705	9606.ENSP00000282050
P25786	9606.ENSP00000414359
P25787	9606.ENSP00000455744
P25788	9606.ENSP00000216455
P25789	9606.ENSP00000044462
P26038	9606.ENSP00000353408
P26196	9606.ENSP00000264018
P26368	9606.ENSP00000307863
P26373	9606.ENSP00000307889
P26447	9606.ENSP00000346294
P26583	9606.ENSP00000296503
P26599	9606.ENSP00000349428
P26639	9606.ENSP00000265112
P26640	9606.ENSP00000364815
P26641	9606.ENSP00000331901
P26885	9606.ENSP00000310935
P27105	9606.ENSP00000286713
P27348	9606.ENSP00000238081
P27361	9606.ENSP00000263025
P27487	9606.ENSP00000353731
P27635	9606.ENSP00000341730
P27658	9606.ENSP00000261037
P27694	9606.ENSP00000254719
P27695	9606.ENSP00000216714
P27708	9606.ENSP00000264705
P27797	9606.ENSP00000320866
P27816	9606.ENSP00000353375
P27824	9606.ENSP00000247461
P27986	9606.ENSP00000274335
P28062	9606.ENSP00000364016
P28065	9606.ENSP00000363993
P28066	9606.ENSP00000271308
P28070	9606.ENSP00000290541
P28072	9606.ENSP00000270586
P28074	9606.ENSP00000355325
P28161	9606.ENSP00000241337
P28300	9606.ENSP00000231004
P28482	9606.ENSP00000215832
P28799	9606.ENSP00000053867
P28838	9606.ENSP00000226299
P29144	9606.ENSP00000365233
P29218	9606.ENSP00000408526
P54762	9606.ENSP00000381097
P29353	9606.ENSP00000401303
P29373	9606.ENSP00000357204
P29401	9606.ENSP00000405455
P29536	9606.ENSP00000356257
P29692	9606.ENSP00000391944
P29966	9606.ENSP00000357624
P30040	9606.ENSP00000261735
P30041	9606.ENSP00000342026
P30043	9606.ENSP00000263368
P30044	9606.ENSP00000265462
P30046	9606.ENSP00000215773
P30048	9606.ENSP00000298510
P30049	9606.ENSP00000215375
P30050	9606.ENSP00000354739
P30084	9606.ENSP00000357535
P30085	9606.ENSP00000360939
P30086	9606.ENSP00000261313
P30101	9606.ENSP00000300289
P30153	9606.ENSP00000324804
P30419	9606.ENSP00000258960
P30520	9606.ENSP00000355493
P30533	9606.ENSP00000421922
P30536	9606.ENSP00000328973
P30566	9606.ENSP00000216194
P30622	9606.ENSP00000303585
P30626	9606.ENSP00000265729
P30711	9606.ENSP00000248935
P30740	9606.ENSP00000370115
P31040	9606.ENSP00000264932
P31150	9606.ENSP00000394071
P31153	9606.ENSP00000303147
P31689	9606.ENSP00000369127
P31749	9606.ENSP00000270202
P31937	9606.ENSP00000265395
P31939	9606.ENSP00000236959
P31942	9606.ENSP00000265866
P31943	9606.ENSP00000349168
P31946	9606.ENSP00000300161
P31947	9606.ENSP00000340989
P31948	9606.ENSP00000305958
P31949	9606.ENSP00000271638
P32019	9606.ENSP00000362115
P32119	9606.ENSP00000301522
P32321	9606.ENSP00000349576
P32455	9606.ENSP00000359504
P32969	9606.ENSP00000346022
P33176	9606.ENSP00000307078
P33240	9606.ENSP00000362063
P33316	9606.ENSP00000370376
P33527	9606.ENSP00000382342
P33991	9606.ENSP00000262105
P33992	9606.ENSP00000216122
P33993	9606.ENSP00000307288
P34059	9606.ENSP00000268695
P34896	9606.ENSP00000318868
P34897	9606.ENSP00000333667
P34932	9606.ENSP00000302961
P34949	9606.ENSP00000318318
P35052	9606.ENSP00000264039
P35080	9606.ENSP00000239940
P35221	9606.ENSP00000304669
P35222	9606.ENSP00000344456
P35232	9606.ENSP00000300408
P35237	9606.ENSP00000338358
P35241	9606.ENSP00000342830
P35244	9606.ENSP00000223129
P35249	9606.ENSP00000296273
P35250	9606.ENSP00000055077
P35268	9606.ENSP00000346088
P35270	9606.ENSP00000234454
P35555	9606.ENSP00000325527
P35573	9606.ENSP00000294724
P35579	9606.ENSP00000216181
P35580	9606.ENSP00000269243
P35606	9606.ENSP00000329419
P35611	9606.ENSP00000264758
P35613	9606.ENSP00000333769
P35625	9606.ENSP00000266085
P35637	9606.ENSP00000254108
P35658	9606.ENSP00000352400
P35711	9606.ENSP00000398273
P35754	9606.ENSP00000237858
P35813	9606.ENSP00000327255
P35908	9606.ENSP00000310861
P35914	9606.ENSP00000363614
P35998	9606.ENSP00000292644
P36404	9606.ENSP00000246747
P36405	9606.ENSP00000260746
P36507	9606.ENSP00000262948
P36542	9606.ENSP00000349142
P36543	9606.ENSP00000253413
P36551	9606.ENSP00000264193
P36578	9606.ENSP00000311430
P36776	9606.ENSP00000353826
P36873	9606.ENSP00000335084
P36915	9606.ENSP00000365806
P36957	9606.ENSP00000335304
P36969	9606.ENSP00000346103
P37108	9606.ENSP00000267884
P37235	9606.ENSP00000310749
P37802	9606.ENSP00000357075
P37837	9606.ENSP00000321259
P37840	9606.ENSP00000338345
P38117	9606.ENSP00000346173
P38159	9606.ENSP00000359645
P38606	9606.ENSP00000273398
P38646	9606.ENSP00000297185
P38919	9606.ENSP00000269349
P39019	9606.ENSP00000470004
P39023	9606.ENSP00000346001
P39656	9606.ENSP00000364188
P39687	9606.ENSP00000417864
P39748	9606.ENSP00000305480
P40121	9606.ENSP00000263867
P40123	9606.ENSP00000229922
P40222	9606.ENSP00000362711
P40227	9606.ENSP00000275603
P40261	9606.ENSP00000299964
P40429	9606.ENSP00000375730
P40763	9606.ENSP00000264657
P40818	9606.ENSP00000302239
P40855	9606.ENSP00000357051
P40925	9606.ENSP00000438144
P40926	9606.ENSP00000327070
P40938	9606.ENSP00000369411
P40939	9606.ENSP00000370023
P41091	9606.ENSP00000253039
P41214	9606.ENSP00000271764
P41221	9606.ENSP00000264634
P41227	9606.ENSP00000417763
P41240	9606.ENSP00000220003
P41250	9606.ENSP00000373918
P41252	9606.ENSP00000364794
P41567	9606.ENSP00000419449
P42025	9606.ENSP00000289228
P42166	9606.ENSP00000266732
P42224	9606.ENSP00000354394
P42566	9606.ENSP00000360798
P42574	9606.ENSP00000311032
P42677	9606.ENSP00000357555
P42765	9606.ENSP00000285093
P42771	9606.ENSP00000394932
P43034	9606.ENSP00000380378
P43121	9606.ENSP00000264036
P43243	9606.ENSP00000354346
P43246	9606.ENSP00000233146
P43358	9606.ENSP00000276344
P43487	9606.ENSP00000327583
P43490	9606.ENSP00000222553
P43686	9606.ENSP00000157812
P45880	9606.ENSP00000361635
P45974	9606.ENSP00000229268
P46013	9606.ENSP00000357643
P46060	9606.ENSP00000348577
P46063	9606.ENSP00000395449
P46100	9606.ENSP00000362441
P46108	9606.ENSP00000300574
P46109	9606.ENSP00000346300
P46379	9606.ENSP00000365131
P46459	9606.ENSP00000381293
P46734	9606.ENSP00000345083
P46736	9606.ENSP00000358474
P46776	9606.ENSP00000346015
P46777	9606.ENSP00000359345
P46778	9606.ENSP00000346027
P46779	9606.ENSP00000401450
P46781	9606.ENSP00000302896
P46782	9606.ENSP00000196551
P46783	9606.ENSP00000347271
P46821	9606.ENSP00000296755
P46926	9606.ENSP00000311876
P46937	9606.ENSP00000282441
P46940	9606.ENSP00000268182
P46976	9606.ENSP00000340736
P47755	9606.ENSP00000354947
P47756	9606.ENSP00000264202
P47895	9606.ENSP00000332256
P47897	9606.ENSP00000307567
P47914	9606.ENSP00000294189
P48059	9606.ENSP00000446121
P48147	9606.ENSP00000358106
P48163	9606.ENSP00000358719
P48307	9606.ENSP00000222543
P48426	9606.ENSP00000365757
P48444	9606.ENSP00000264028
P48506	9606.ENSP00000229416
P48507	9606.ENSP00000359258
P48556	9606.ENSP00000215071
P48637	9606.ENSP00000216951
P48643	9606.ENSP00000280326
P48681	9606.ENSP00000357206
P48735	9606.ENSP00000331897
P48739	9606.ENSP00000334738
P49006	9606.ENSP00000362638
P49023	9606.ENSP00000228307
P49189	9606.ENSP00000346827
P49207	9606.ENSP00000378160
P49247	9606.ENSP00000283646
P49257	9606.ENSP00000251047
P49321	9606.ENSP00000255120
P49327	9606.ENSP00000304592
P49354	9606.ENSP00000303423
P49356	9606.ENSP00000246166
P49366	9606.ENSP00000210060
P49368	9606.ENSP00000295688
P49411	9606.ENSP00000322439
P49419	9606.ENSP00000387123
P49454	9606.ENSP00000355922
P49458	9606.ENSP00000305230
P49588	9606.ENSP00000261772
P49589	9606.ENSP00000369897
P49591	9606.ENSP00000234677
P49593	9606.ENSP00000263212
P49720	9606.ENSP00000225426
P49721	9606.ENSP00000362334
P49736	9606.ENSP00000265056
P49748	9606.ENSP00000349297
P49755	9606.ENSP00000303145
P49773	9606.ENSP00000304229
P49815	9606.ENSP00000219476
P49841	9606.ENSP00000324806
P49902	9606.ENSP00000339479
P49903	9606.ENSP00000367893
P49915	9606.ENSP00000419851
P50395	9606.ENSP00000369538
P50416	9606.ENSP00000265641
P50452	9606.ENSP00000331368
P50454	9606.ENSP00000350894
P50479	9606.ENSP00000253754
P50502	9606.ENSP00000216218
P50552	9606.ENSP00000245932
P50570	9606.ENSP00000347890
P50579	9606.ENSP00000325312
P50583	9606.ENSP00000338397
P50897	9606.ENSP00000394863
P50914	9606.ENSP00000345156
P50990	9606.ENSP00000286788
P50991	9606.ENSP00000377958
P50995	9606.ENSP00000265447
P51114	9606.ENSP00000350170
P51148	9606.ENSP00000345689
P51149	9606.ENSP00000265062
P51397	9606.ENSP00000230895
P51452	9606.ENSP00000226004
P51570	9606.ENSP00000225614
P51571	9606.ENSP00000317331
P51572	9606.ENSP00000392330
P51606	9606.ENSP00000377303
P51659	9606.ENSP00000420914
P51665	9606.ENSP00000219313
P51784	9606.ENSP00000218348
P51812	9606.ENSP00000368884
P51816	9606.ENSP00000359489
P51858	9606.ENSP00000357189
P51911	9606.ENSP00000252456
P51991	9606.ENSP00000376309
P52209	9606.ENSP00000270776
P52272	9606.ENSP00000325376
P52292	9606.ENSP00000332455
P52294	9606.ENSP00000343701
P52306	9606.ENSP00000340454
P52434	9606.ENSP00000296223
P52565	9606.ENSP00000269321
P52597	9606.ENSP00000338477
P52630	9606.ENSP00000315768
P52701	9606.ENSP00000234420
P52788	9606.ENSP00000385746
P52888	9606.ENSP00000304467
